,audio,ground_truth,prediction,WER,prompt_type
0,02000010001_chunk_019.wav,और सामने जो मुझे दिख रही हैं,और सामने जो मुझे दिख रही हैं,0,one-shot
1,02000010001_chunk_028.wav,तो ये,तो ये,0,one-shot
17,02000100001_chunk_287.wav,और तीसरा,और तीसरा,0,one-shot
7,02000100001_chunk_008.wav,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प...,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप क...,0.125,one-shot
4,02000010001_chunk_079.wav,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी.,0.125,one-shot
9,02000100001_chunk_040.wav,और इससे भी आप फल जब होते थे तो पिताजी को,और इससे भी फल जब होते थे तो पिताजी को.,0.181818,one-shot
19,02000100001_chunk_307.wav,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इ...,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इ...,0.2,one-shot
8,02000100001_chunk_033.wav,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर क...,तो बचपन से ही मेरी इच्छा थी कि हम घर पर जाके क...,0.208333,one-shot
14,02000100001_chunk_175.wav,और उसको एडवांस में पर्चेज करते रखना सो थाट की ...,"और उसको एडवांस में पर्चेज करके रखना, सो दैट कि...",0.222222,one-shot
18,02000100001_chunk_299.wav,इनकम हो सकता है,इनकम हो सकता है.,0.25,one-shot
10,02000100001_chunk_083.wav,जिस लीची के बाग को हम छह लाख सात लाख में बेचते...,जिस लीची के बाग को हम छेलाख-सात लाख में बेचते ...,0.25,one-shot
11,02000100001_chunk_089.wav,डिपेंडिंग उपों डिस्टेंस पाइप का डायमीटर चेंज,डिपेंडिंग अपॉन डिस्टेंस पाइप का डायमीटर चेंज.,0.285714,one-shot
2,02000010001_chunk_032.wav,लाइन में रो में बड़े बड़े पड़े हुए हैं,"लाइन में, रो में बड़े बड़े पेड़ पड़े हुए हैं।",0.333333,one-shot
5,02000010001_chunk_102.wav,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे यह साइज काफी अच्छा लगता है.,0.444444,one-shot
12,02000100001_chunk_122.wav,और बाकी कोई चीज में नही देना है है,और बाकी कोई चीज में नहीं देना.,0.444444,one-shot
16,02000100001_chunk_217.wav,बैंगलोर भेजे हैं और,बैंगलोर भेजे हैं.,0.5,one-shot
6,02000010001_chunk_241.wav,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़...,ये मैं छत का पेंट का कलर जो चूज करती हूं।,0.733333,one-shot
15,02000100001_chunk_212.wav,क्योंकि उससे हमको प्रीमियम चाहिए,प्राप्त करेंगे।,1,one-shot
3,02000010001_chunk_062.wav,इसका ये,सकाईये।,1,one-shot
13,02000100001_chunk_160.wav,डी बोरवेल पम्प जिसमें,डीप बोर्वेल पंप,1,one-shot
